username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Stevie Mat,551608330,"Los Angeles, CA",2023-01-23 03:47:00,"Now their collective but individual roles in gentrifying places like SF and Oakland, moving into fancy apartments t… https://t.co/5Raia4uP3F",0,Twitter Web App,
Twizted Dream,2556137372,"Venice Beach, Los Angeles",2023-01-23 03:43:05,"@RoofLesser Holy Fuck that ending is sad... 😩
Camping, a really expensive way to be homeless for awhile, but rememb… https://t.co/J4eCYBj1Dg",1,Twitter for Android,
Julien Blue (Julie Violet) 🏳️‍🌈,1318975286705147904,Los Angeles,2023-01-23 03:14:45,"@Twizted_Dream @wakeupsisters Yup it's cold tonight... 
I've never been 'homeless' before Oct 13th - &amp; now my mini… https://t.co/18WQX7LnEB",0,Twitter Web App,
crimewatch,1562227206029340673,"Culver City, CA",2023-01-23 03:14:23,@UnsafeStreetsUS homeless like him keep murdering young women https://t.co/CBIrLZiLUT,0,Twitter for iPad,
crimewatch,1562227206029340673,"Culver City, CA",2023-01-23 03:14:13,@UnsafeStreetsUS homeless like him keep murdering young women https://t.co/CBIrLZiLUT,0,Twitter for iPad,
crimewatch,1562227206029340673,"Culver City, CA",2023-01-23 03:14:04,@kevinvdahlgren homeless like him keep murdering young women https://t.co/CBIrLZiLUT,0,Twitter for iPad,
crimewatch,1562227206029340673,"Culver City, CA",2023-01-23 03:13:58,@michelletandler homeless like him keep murdering young women https://t.co/CBIrLZiLUT,0,Twitter for iPad,
crimewatch,1562227206029340673,"Culver City, CA",2023-01-23 03:13:36,@kevinvdahlgren homeless like him keep murdering young women https://t.co/CBIrLZiLUT,0,Twitter for iPad,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-23 03:12:06,"Rosalind lives in a tent in Charlotte, North Carolina. She was evicted from her apartment almost four years ago. Ro… https://t.co/Kg0qAQv86Z",1,Agorapulse app,
Melinda Gorden,1487544558887923712,"Covina, CA",2023-01-23 03:07:30,@RogerSBaker2 I remember when that happened. I know we didn't have the horrific homeless problem that we have today… https://t.co/FDKYoP7x2J,0,Twitter for Android,
Raze Parking Structure 3,1483604543740907523,"Santa Monica, CA",2023-01-23 03:00:52,"@abales LAX too.

https://t.co/M9lLzVYEet",0,Twitter Web App,
Mark Pellegrino,1450087165,"Los Angeles, CA",2023-01-23 02:48:11,@ninaturner How many spare rooms you have and why aren’t you giving them to the homeless? Bernie’s got three houses… https://t.co/vb4V9xkGgG,2,Twitter for iPhone,
keith johnson,15074776,Los Angeles,2023-01-23 02:35:43,@LAFDtalk Curious a neighbor noticed an elderly homeless fellow that went in and out seizures but refused her call… https://t.co/55l5NclBXm,0,Twitter Web App,
Irene Rubaum-Keller 🦋 May or May Not Be Notable,42851716,Los Angeles,2023-01-23 02:30:32,@KarenBassLA Hi Karen. There is an elderly homeless woman sleeping on the street nightly. She has been for months.… https://t.co/1q2g85EHea,0,Twitter Web App,
Jonathan Oskins,2928963276,"Los Angeles, California",2023-01-23 02:27:57,@UnsafeStreetsUS @homeless_new @No1RDunn @MayorOfLA @TreatmentAdvCtr @nssc The nssc handle you posted leads to a de… https://t.co/fXg2NziVTs,0,Twitter for iPad,
Twizted Dream,2556137372,"Venice Beach, Los Angeles",2023-01-23 02:22:50,"@Tillery711 @NPR The homeless are... 
The starving homeless children are... 
The humans you demonize on Food Stamps… https://t.co/SK9O8YCquz",0,Twitter for Android,
Ben Hechler,1610439316349784064,"Los Angeles, CA",2023-01-23 02:14:40,@mwmkaouer @alliekmiller this is truly sheepish and pathetic leadership. I'd rather be homeless than let down folks… https://t.co/qsxNOLTMUM,0,Twitter for Android,
Twizted Dream,2556137372,"Venice Beach, Los Angeles",2023-01-23 02:14:17,"@JulieViolet2 @wakeupsisters This is for all landlords now, but yes definitely don't want homeless people. 
To them… https://t.co/R5LnqRDywv",0,Twitter for Android,
Lucky Powers,827529794,"Los Angeles, CA",2023-01-23 02:14:17,@nathaliejacoby1 Over the years we've adopted more than 20 abandoned/homeless cats and found homes for others that… https://t.co/Mek3UmZnId,0,Twitter Web App,
Jonathan Oskins,2928963276,"Los Angeles, California",2023-01-23 02:11:30,"@UnsafeStreetsUS @homeless_new @No1RDunn @MayorOfLA Feel free to ask LAPD for data, as they are cited. Or ask SDPD… https://t.co/Ar82lmIPru",0,Twitter for Android,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-23 02:10:08,"From a simple “hello” to a “what do you need today?”, there are many things you can say to try and connect with a h… https://t.co/BFceYftsO6",2,Agorapulse app,
Kathleen Crowley,1176237440362672128,"Los Angeles, CA",2023-01-23 02:03:38,@UnsafeStreetsUS @homeless_new @UCLA_Grad @No1RDunn @MayorOfLA @TreatmentAdvCtr @nssc Rather than forcing people to… https://t.co/Ka0hHGA7CE,1,Twitter for iPhone,
KEREN,1161708682570108928,"Los Angeles, CA",2023-01-23 02:03:09,@unshelltered1 worse than that its illegal 2 even b homeless 😤,0,Twitter for iPhone,
Kathleen Crowley,1176237440362672128,"Los Angeles, CA",2023-01-23 02:01:10,@UnsafeStreetsUS @homeless_new @UCLA_Grad @No1RDunn @MayorOfLA @TreatmentAdvCtr @nssc There is no credible data to… https://t.co/M7DaqqCGpu,0,Twitter for iPhone,
Julien Blue (Julie Violet) 🏳️‍🌈,1318975286705147904,Los Angeles,2023-01-23 01:57:29,@Twizted_Dream @wakeupsisters These are Section 8 approved landlords - they just don't want 'homeless'...,0,Twitter Web App,
Annie Jump 🏳️‍⚧️ (slut/pup/princess/whore),2507744807,"Los Angeles, CA",2023-01-23 01:46:18,"@tgard Is it virtue signaling if I've worked in homeless shelters, been homeless myself, worked for a city council… https://t.co/v1I3R5fsWF",0,Twitter for Android,
Jonathan Oskins,2928963276,"Los Angeles, California",2023-01-23 01:30:14,@UnsafeStreetsUS @homeless_new @No1RDunn @MayorOfLA “Most people who are killed are killed by people in their socia… https://t.co/TbVFfBK2iq,0,Twitter for Android,
Jonathan Oskins,2928963276,"Los Angeles, California",2023-01-23 01:29:35,"@UnsafeStreetsUS @homeless_new @No1RDunn @MayorOfLA You are pushing a narrative without facts, and against facts, i… https://t.co/dNPYmiOrrL",0,Twitter for Android,
julian,324244562,"Los Angeles, CA",2023-01-23 01:26:07,bruh these homeless people started a fire right outside the dispensary i go to just as i pulled up,0,Twitter for iPhone,
Lulu Walcott 🦂 Medicare For All & GND 🌎,621335481,"Los Angeles, CA",2023-01-23 01:25:28,"#LosAngeles #Politics #Government #Homeless #Homelessness —&gt; Black mayors call public safety, homelessness biggest… https://t.co/QoHqDYsC4o",0,Twitter for iPhone,
Perez,3911239745,"Los Angeles, CA",2023-01-23 01:20:10,This is so inhumane! https://t.co/Ydw8lqFO6q,0,Hootsuite Inc.,
ただ,1039065355,"Los Angeles, CA",2023-01-23 01:17:12,"@pulte  my friend is running the LA marathon to raise money! It would be amazing if you can retweet this ❤️❤️❤️

Ru… https://t.co/gp4IZ5Y7ye",0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-23 01:12:07,"Tera and her children have been staying in shelters. Navigating the social support system is not easy, but the bigg… https://t.co/x7xoa73swf",4,Agorapulse app,
Raziel Sayers,1607460990958075906,"Hollywood, Los Angeles, CA",2023-01-23 01:10:19,"I was struggling w whether this was something I was willing to do with my life. I ended up homeless, drugged, with… https://t.co/NYIhuM7eMs",0,Twitter Web App,
Twizted Dream,2556137372,"Venice Beach, Los Angeles",2023-01-23 01:05:49,"@JulieViolet2 @wakeupsisters Worst part about it, HE'S NOT HOMELESS, just a lower income person trying to receive medical attention. 😩",0,Twitter for Android,
Julien Blue (Julie Violet) 🏳️‍🌈,1318975286705147904,Los Angeles,2023-01-23 01:02:29,"@Twizted_Dream @wakeupsisters Sorry...
I grew up in the country club... Now I have no family &amp; am handicapped &amp; hom… https://t.co/Vbou42aQ92",0,Twitter Web App,
YoungHippyLife,1198384784315240448,"Los Angeles, CA",2023-01-23 00:47:10,is #lax airport courthouse a scam they said I had court this month the last time I went to court after they force m… https://t.co/sh9CL3L01k,0,Twitter Web App,
CryoGenital LTD,804880972248268801,"Los Angeles, CA",2023-01-23 00:47:02,@HollyBriden @maryh4751 Did you earn the smell or are you just wearing Homeless Beaver by Calvin Klein?,0,Twitter Web App,
Jude,1386464916085690369,Los Angeles,2023-01-23 00:38:27,@tedlieu @ttextyler @SpeakerMcCarthy An unarmed guy dressed as a Shaman is so scary. You should be used to that sin… https://t.co/GeqFEqY30E,0,Twitter Web App,
For-the-love-of-God,1464740311578595328,"Los Angeles, CA",2023-01-23 00:31:26,"@heythisismeg @fadde @MarioNawfal Meg, you really need to get out and see that trash is literally all over our city… https://t.co/AXOLlFpNl6",0,Twitter for iPhone,
JS 🦝,1483310154737086464,"Los Angeles, CA",2023-01-23 00:25:15,@AliceAvizandum I also briefly thought we might reconsider how awful we’ve made public spaces for the sake of stick… https://t.co/VIqJy38H7V,0,Twitter for iPhone,
Julien Blue (Julie Violet) 🏳️‍🌈,1318975286705147904,Los Angeles,2023-01-23 00:23:33,@Twizted_Dream @wakeupsisters Yes! Homeless are treated as subhumans...,0,Twitter Web App,
Tyler Dagoto The Government 🏴‍☠️,156051079,"Los Angeles, CA",2023-01-23 00:15:58,I’m wondering why I’m supposed to be completely disconnected and homeless to learn some struggle because you were o… https://t.co/bpiGgtneUz,0,Twitter for iPhone,
DTLA Crime Analysis,1579937191089807378,Downtown Los Angeles,2023-01-23 00:13:45,L.A. to keep downtown L.A Grand hotel open as homeless housing for another year https://t.co/0EQMTasEuJ,0,Twitter Web App,
Twizted Dream,2556137372,"Venice Beach, Los Angeles",2023-01-23 00:09:37,"@wakeupsisters This, and the treatment of the homeless are BOTH Human Rights Violations, and as such I hope they sa… https://t.co/v1iGNd78cv",1,Twitter for Android,
Citizen Watch,1500556812948365312,Los Angeles,2023-01-23 00:00:55,@lacontroller When will the public get to see the first performance metrics for @KarenBassLA accomplishments re: the homeless situation?,0,Twitter Web App,
✨BélAnpil Chanel✨,440512230,ny.atl.la,2023-01-22 23:53:14,Ever seen a homeless man give another homeless man a dollar? That’s love.,0,Twitter for iPhone,
Jeff Ball,15918409,"Los Angeles, CA",2023-01-22 23:51:05,@mearmstrong77 @DKwiatkowski23 @ninaturner We are the wealthiest nation in the planet. All should be provided a bas… https://t.co/M51hyMC2fe,0,Twitter for iPhone,
Thomas Savino,26873143,"Burbank, CA - USA",2023-01-22 23:38:35,@ReneeAlida I'm glad someone as young as what you're profile photo suggests you are is aware of this.  Every Americ… https://t.co/JAtXCDEjT4,0,Twitter Web App,
Milania 💙,950130201836564480,"Los Angeles, CA",2023-01-22 23:16:35,"I need someone to help me feeding the homeless, I’m going to cook the meals I just need someone to distribute them… https://t.co/n8KU8RC4yk",0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 23:12:06,"Connie receives $900 a month yet the cheapest studios in Alameda County start at $1,200, and landlords require inco… https://t.co/D5Q0F3w5ZK",3,Agorapulse app,
Jonathan Oskins,2928963276,"Los Angeles, California",2023-01-22 23:09:11,"@homeless_new @No1RDunn @MayorOfLA It is intentionality ambiguous. If enforced, it would be challenged, and maybe s… https://t.co/Iu6zrcx1Hj",0,Twitter for iPad,
MaxxJerome,18467509,MAXXHILLS,2023-01-22 22:46:18,"@LACoSheriff CORRUPTION ON HILL STREET
Next time you wanna know why there are so many homeless black people in LA,… https://t.co/9XJ71NVsEV",0,Twitter for iPhone,
Daniel Guss,4880918696,"Los Angeles, CA",2023-01-22 22:28:14,"More #ShermanOaks #homeless chaos, allegedly making criminal threats on Sunday afternoon. Long ignored by… https://t.co/wAEp62vDh6",0,Twitter for iPhone,
AIDS Healthcare,16879321,"Los Angeles, CA",2023-01-22 22:21:30,"Since 2018, we have fought for #RentControl and provided more than 1,400 units of low-income &amp; homeless housing. Wh… https://t.co/av18MYZy8g",3,Twitter for Android,
Mary Cellini,78144172,Los Angeles ,2023-01-22 22:14:28,The work @AIDSHealthcare and @HousingHumanRt are doing to help solve the housing affordability and #homeless crises… https://t.co/KIU58KjR2y,0,Twitter for iPhone,
The Homeless Times,1153413011651977217,"Los Angeles, California USA",2023-01-22 22:13:10,"🌱 Puente Hills Park Kickoff + Melroses Darkroom Becomes Vegan Lounge – Patch 
Hello, everybody! Today, we commemora… https://t.co/QSYqVbKr3M",0,Revive Social App,
Humanity Cardano,81753451,"Santa Monica, CA",2023-01-22 22:12:01,"@WHO @mvankerkhove @DrMikeRyan I’m with LA food bank, we give away food for those who need it in downtown LA. Since… https://t.co/Tbcyf1WIwJ",0,Twitter for iPhone,
