username,userid,profile_location,created_at,text,retweet_count,source,coordinates
objectivity,1607105407956443136,NYC,2023-01-23 03:48:49,"@tigraionline @DadeDesta @StalinTeklu
@tesfanews @DrTedros
Any news about this homeless man? https://t.co/TL9N4ygrdK",0,Twitter for Android,
Pat🍊,1519427893738278917,"Manhattan, NY",2023-01-23 03:48:20,@POTUS That is because their unemployment ran out an they are  homeless now or living with family &amp;friends.They are… https://t.co/WDVSSR0BMK,0,Twitter for iPhone,
"Anne ""Hearthsinger"" Richmond 🧢 ➡️ Adepticon",52416322,NYC,2023-01-23 03:44:19,@TychoBrahe Mine was orphaned by the Spanish flu and raised by her spinster aunts. She helped Habitat for Humanity… https://t.co/15mZMfXWaV,0,Twitter Web App,
Intelligencer,45565185,"New York, NY",2023-01-23 03:40:10,"“You’re going to bring every homeless person to the hospital, and we’re going to fix it? There’s no room in the sys… https://t.co/2MBWsA36mR",0,SocialFlow,
✨dreamthem✨,485345836,"New York, USA",2023-01-23 03:37:40,"“There are homeless people and drug users in the tunnel!!!! We gotta clean that up!!!!” 

Proceeds to address those… https://t.co/cFpCqUTxwr",1,Twitter for iPhone,
Jason Curtis Anderson,1241570477086310401,NYC,2023-01-23 03:25:33,@kevinvdahlgren “Unfortunately state policy is not treatment before tragedy. Tragedy is a prerequisite to treatment… https://t.co/3pKIwMy31o,0,Twitter for iPhone,
ocmjayb.eth,1574018081067864064,New York,2023-01-23 03:24:24,@Homeless_72 @ZenAcademy How do we inform them about @OnChainMonkey ahead of Season 2 of the DAO?  Opportunity to b… https://t.co/jn4VscWt4Z,0,Twitter for Android,
Toró Joven,1606080463344439296,"New York, NY",2023-01-23 03:12:30,I Remember I Was Homeless In Miami 🏝️ &amp; This Girl Let Me Stay With Her Right? .. She Put Me Out While I Was At Work… https://t.co/fN8Fa2lkrG,0,Twitter for iPhone,
Jake,1854074754,"New York, USA",2023-01-23 03:09:48,"@smithsrsn No. They're legally avoiding taxes

Because they have the money to spend to make it legal

It's illegal… https://t.co/kolB5M0GEG",0,Twitter for Android,
CatLady12,1422827797454729216,"Manhattan, NY",2023-01-23 03:01:28,"I love the poor, the homeless, the mentally ill, they R our brothers &amp; sisters. https://t.co/nCZSaDjhrE",1,Twitter for Android,
